Software,unique_users,Source,Category
PowerPlatform-vsts-Connector,1,SSO,Internal Applications
Powerbi,1,Email,Collaboration & Productivity (SaaS)
Prismatic Authorisation,1,SSO,Internal Applications
Prismatic Portal,1,SSO,Other SaaS / Business Apps
Prismatic Teams,9,SSO,Internal Applications
ProjectWorkManagement,10,SSO,Other SaaS / Business Apps
Quickbooks,1,Email,Collaboration & Productivity (SaaS)
Request Approvals Read Platform,1,SSO,Internal Applications
Robin ( + Service Accounts),1,SSO,Internal Applications
Sales Copilot Public App - Prod,1,SSO,Internal Applications
SalesInsightsWebApp,4,SSO,Internal Applications
SalesLoft,27,SSO,Internal Applications
Salesforce,1,Email,Other SaaS / Business Apps
Salesforce Inbox,12,SSO,Internal Applications
Salesforce for Teams Video,9,SSO,Internal Applications
Salesloft - Teams Integration for Conversations,4,SSO,Internal Applications
SalsCopilot,4,SSO,Internal Applications
Security Copilot API,3,SSO,Internal Applications
SharePoint Android,3,SSO,Internal Applications
SharePoint Online Web Client Extensibility,105,SSO,Internal Applications
Signup,28,SSO,Internal Applications
Signup Client,1,SSO,Internal Applications
Skype Presence Service,39,SSO,Internal Applications
Skype for Business,2,SSO,Internal Applications
Sticky Notes Client,9,SSO,Internal Applications
Teams Approvals,2,SSO,Internal Applications
Teams CMD Services Artifacts,43,SSO,Internal Applications
Teams Meeting Intelligence Service - Attendance Report,7,SSO,Internal Applications
Teams Suggestions Service,3,SSO,Internal Applications
Test PowerAutomate Connector App,1,SSO,Developer Tools
Universal Print,7,SSO,Internal Applications
Universal Print Native Client,6,SSO,Internal Applications
Universal Store Native Client,171,SSO,Internal Applications
Visual Studio,26,SSO,Developer Tools
Visual Studio - Legacy,2,SSO,Developer Tools
Visual Studio Code,1,SSO,Developer Tools
Viva Goals Integrations,1,SSO,Internal Applications
Websites Extensions,1,SSO,Internal Applications
WeveEngine,1,SSO,Internal Applications
Windows 365 Client,2,SSO,Internal Applications
Windows App - macOS,1,SSO,Internal Applications
Windows Azure Active Directory,3,SSO,Internal Applications
Windows Insider Program,12,SSO,Internal Applications
Windows Search,102,SSO,Internal Applications
Windows Shell,117,SSO,Internal Applications
Windows Sign In,154,SSO,Security & Identity
Windows Spotlight,130,SSO,Internal Applications
WindowsDefenderATP,3,SSO,Internal Applications
WindowsNotepad,13,SSO,Internal Applications
Workday,1,Email,Collaboration & Productivity (SaaS)
Xero,1,Email,Collaboration & Productivity (SaaS)
Yammer Web,2,SSO,Internal Applications
Zendesk,3,SSO,Other SaaS / Business Apps
Zoho,7,Email,Collaboration & Productivity (SaaS)
calendly,1,SSO,Internal Applications
orbus-iserver-api-CaMo,1,SSO,Internal Applications
